source,target,interaction_type,interaction_value,stage
sem9,sem2,co,-1,72
sem3,sem9,co,-1,72
sem2,sem3,co,1,72
sem10,sem24,co,1,72
sem10,sem15,co,1,72
sem12,sem19,co,1,72
sem12,sem21,co,1,72
sem12,sem25,co,1,72
sem12,sem31,co,1,72
sem30,sem19,co,1,72
sem30,sem21,co,1,72
sem30,sem25,co,1,72
sem30,sem31,co,1,72
sem35,sem19,co,1,72
sem35,sem21,co,1,72
sem35,sem25,co,1,72
sem35,sem31,co,1,72
sem8,sem14,co,1,72
sem8,sem23,co,1,72
sem8,sem24,co,1,72
sem8,sem15,co,1,72
sem8,sem17,co,1,72
sem11,sem18,co,1,72
sem11,sem19,co,1,72
sem11,sem21,co,1,72
sem11,sem25,co,1,72
sem11,sem31,co,1,72
sem18,sem19,co,1,72
sem18,sem21,co,1,72
sem18,sem25,co,1,72
sem18,sem31,co,1,72
sem29,sem22,co,1,72
sem29,sem19,co,1,72
sem29,sem21,co,1,72
sem29,sem25,co,1,72
sem29,sem31,co,1,72
sem22,sem14,co,1,72
sem22,sem23,co,1,72
sem22,sem24,co,1,72
sem22,sem15,co,1,72
sem22,sem17,co,1,72
sem14,sem23,co,1,72
sem14,sem24,co,1,72
sem14,sem15,co,1,72
sem14,sem17,co,1,72
sem14,sem19,co,1,72
sem14,sem21,co,1,72
sem14,sem25,co,1,72
sem14,sem31,co,1,72
sem23,sem24,co,1,72
sem23,sem15,co,1,72
sem23,sem17,co,1,72
sem23,sem19,co,1,72
sem23,sem21,co,1,72
sem23,sem25,co,1,72
sem23,sem31,co,1,72
sem13,sem16,co,1,72
sem13,sem15,co,1,72
sem13,sem17,co,1,72
sem13,sem19,co,1,72
sem13,sem21,co,1,72
sem13,sem25,co,1,72
sem13,sem31,co,1,72
sem16,sem15,co,1,72
sem16,sem17,co,1,72
sem16,sem19,co,1,72
sem16,sem21,co,1,72
sem16,sem25,co,1,72
sem16,sem31,co,1,72
sem24,sem15,co,1,72
sem24,sem17,co,1,72
sem24,sem19,co,1,72
sem24,sem21,co,1,72
sem24,sem25,co,1,72
sem24,sem31,co,1,72
sem15,sem17,co,1,72
sem15,sem19,co,1,72
sem15,sem21,co,1,72
sem15,sem25,co,1,72
sem15,sem31,co,1,72
sem17,sem19,co,1,72
sem17,sem21,co,1,72
sem17,sem25,co,1,72
sem17,sem31,co,1,72
sem19,sem21,co,1,72
sem19,sem25,co,1,72
sem19,sem31,co,1,72
sem21,sem25,co,1,72
sem21,sem31,co,1,72
sem25,sem31,co,1,72
